position_title,category,seniority,rate_min,rate_median,rate_max,currency,rate_type,source,region
architekt systemowy (SE),Programowanie,senior,21827,24837,27369,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
architekt systemowy (SS),Programowanie,mid,19116,22490,25863,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk systemowy (SE),Programowanie,senior,19569,21074,23332,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk systemowy (SS),Programowanie,mid,17401,18066,20698,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk systemowy (SD),Programowanie,junior,13697,15800,18063,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. UX/UI (K1),Programowanie,manager,20533,21855,24290,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista UX/UI (SE),Programowanie,senior,18000,21213,22579,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista UX/UI (SS),Programowanie,mid,15053,17110,19634,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista UX/UI (SD),Programowanie,junior,11698,13026,15065,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
dyrektor ds. produkcji oprogramowania (D2),Programowanie,director,38421,45201,51981,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
dyrektor ds. produkcji oprogramowania (D1),Programowanie,director,34004,40005,46006,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik zespołu programistów (K2),Programowanie,manager,25118,28042,33116,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik zespołu programistów (K1),Programowanie,manager,22579,27796,29497,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
koordynator zespołu programistów (KZ),Programowanie,lead,20407,23945,24798,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier DevOps (SSE),Programowanie,expert,26824,30106,33628,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier DevOps (SE),Programowanie,senior,24006,25289,28500,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier DevOps (SS),Programowanie,mid,19496,22193,24897,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier DevOps (SD),Programowanie,junior,15507,18321,21455,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier DevOps (SM),Programowanie,junior,9634,11000,12042,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista (SSE),Programowanie,expert,26568,29503,35200,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista (SE),Programowanie,senior,20321,23000,26259,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista (SS),Programowanie,mid,15500,18816,22203,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista (SD),Programowanie,junior,9784,11894,18094,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista (SM),Programowanie,junior,4591,9067,11667,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Full Stack (SE),Programowanie,senior,22548,24677,26260,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Full Stack (SS),Programowanie,mid,18364,20773,22778,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Full Stack (SD),Programowanie,junior,13050,16599,18111,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Front-End (SSE),Programowanie,expert,23316,27430,31544,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Front-End (SE),Programowanie,senior,21827,23742,25289,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Front-End (SS),Programowanie,mid,18300,20321,22618,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Front-End (SD),Programowanie,junior,13148,15295,17998,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Front-End (SM),Programowanie,junior,8214,8988,10167,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Back-End (SE),Programowanie,senior,24084,26493,29000,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Back-End (SS),Programowanie,mid,18300,21074,22086,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Back-End (SD),Programowanie,junior,13873,15805,18063,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista aplikacji mobilnych (SE),Programowanie,senior,22128,23622,25120,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista aplikacji mobilnych (SS),Programowanie,mid,19076,20321,23332,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista aplikacji mobilnych (SD),Programowanie,junior,13768,15882,20527,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista .NET/C# (SSE),Programowanie,expert,28600,32815,34513,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista .NET/C# (SE),Programowanie,senior,21074,23000,25669,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista .NET/C# (SS),Programowanie,mid,17311,20480,23141,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista .NET/C# (SD),Programowanie,junior,13548,15889,18063,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista C/C++ (SE),Programowanie,senior,23332,24837,27848,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista C/C++ (SS),Programowanie,mid,20321,21101,23332,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista C/C++ (SD),Programowanie,junior,14074,16558,19042,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Java (SSE),Programowanie,expert,28901,29426,33116,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Java (SE),Programowanie,senior,22579,24837,27095,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Java (SS),Programowanie,mid,18816,20773,24084,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Java (SD),Programowanie,junior,14153,17607,20321,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Java (SM),Programowanie,junior,9667,11290,13548,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista PHP (SE),Programowanie,senior,19569,21827,23905,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista PHP (SS),Programowanie,mid,16000,17821,19397,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista PHP (SD),Programowanie,junior,13925,15040,17405,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Python (SE),Programowanie,senior,23332,24837,27095,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Python (SS),Programowanie,mid,18797,20801,22810,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista Python (SD),Programowanie,junior,12644,17067,19569,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. bezpieczeństwa IT (SS),Bezpieczeństwo IT,mid,19751,23236,26721,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik zespołu testerów (K2),Testowanie,manager,23001,27060,31119,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik zespołu testerów (K1),Testowanie,manager,21074,27000,27848,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - automatyczny (SE),Testowanie,senior,21006,21827,24084,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - automatyczny (SS),Testowanie,mid,16257,18063,20267,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - automatyczny (SD),Testowanie,junior,12486,14154,15889,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - automatyczny (SM),Testowanie,junior,6473,9421,10537,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - manualny (SE),Testowanie,senior,17000,17311,19542,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - manualny (SS),Testowanie,mid,12795,15053,16859,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - manualny (SD),Testowanie,junior,10376,11290,14000,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
tester oprogramowania - manualny (SM),Testowanie,junior,6723,7978,9173,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. wdrożeń (K1),ERP i CRM,manager,21075,24794,28513,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. realizacji usług (K2),ERP i CRM,manager,26225,28224,32665,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. realizacji usług (K1),ERP i CRM,manager,17122,24386,28615,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
konsultant/wdrożeniowiec (SE),ERP i CRM,senior,13675,19606,23155,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
konsultant/wdrożeniowiec (SS),ERP i CRM,mid,11169,16000,18811,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
konsultant/wdrożeniowiec (SD),ERP i CRM,junior,10642,11067,12163,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk biznesowy (SSE),ERP i CRM,expert,21696,25525,29354,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk biznesowy (SE),ERP i CRM,senior,19569,21074,24084,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk biznesowy (SS),ERP i CRM,mid,16638,19000,20831,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk biznesowy (SD),ERP i CRM,junior,13132,15035,16850,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier Cloud (SSE),Infrastruktura i Cloud,expert,23671,27848,32025,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. techniczno-sprzętowych (K1),Infrastruktura i Cloud,manager,19148,22527,25906,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista help-desk (SS),Infrastruktura i Cloud,mid,9333,10185,11400,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. wsparcia IT (SE),Infrastruktura i Cloud,senior,13274,16083,20321,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. wsparcia IT (SS),Infrastruktura i Cloud,mid,10771,12672,14573,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. wsparcia IT (SD),Infrastruktura i Cloud,junior,9175,9784,10836,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Business Analyst,Dane i AI,mid,100.0,100.0,100.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
Business Analyst - Senior,Dane i AI,senior,130.0,130.0,130.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
I&O - Oracle DBA,Infrastruktura i Cloud,mid,110.0,110.0,110.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Analyst,Dane i AI,mid,90.0,120.0,155.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Analyst - Expert,Dane i AI,expert,90.0,150.0,165.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Analyst - Senior,Dane i AI,senior,115.0,128.0,150.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Architect,Programowanie,mid,190.0,190.0,190.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Architect - Expert,Programowanie,expert,185.0,210.0,240.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Architect - Senior,Programowanie,senior,180.0,200.0,225.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Automation Tester,Testowanie,mid,100.0,100.0,115.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Automation Tester - Expert,Testowanie,expert,140.0,156.0,170.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Automation Tester - Senior,Testowanie,senior,90.0,125.0,140.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Developer,Programowanie,mid,100.0,115.0,180.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Developer - Expert,Programowanie,expert,145.0,155.0,245.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Developer - Senior,Programowanie,senior,87.0,144.0,220.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Governance Consultant,Zarządzanie IT,mid,180.0,180.0,180.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Operations - Expert,Infrastruktura i Cloud,expert,145.0,158.0,185.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Operations - Senior,Infrastruktura i Cloud,senior,100.0,139.0,145.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Project Assistant,Zarządzanie IT,mid,83.0,85.0,105.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Project Manager,Zarządzanie IT,mid,122.0,140.0,163.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Project Manager - Expert,Zarządzanie IT,expert,180.0,200.0,200.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Project Manager - Senior,Zarządzanie IT,senior,120.0,135.0,160.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
IT Security Consultant - Expert,Bezpieczeństwo IT,expert,123.0,123.0,123.0,PLN,hourly_b2b_netto,Nordea COA 2025,Polska (klient: Nordea)
